geom,Name_fi,Address_fi,Link_fi,Link_en,Selite_fi,Selite_en
"POINT (25490669 6682747)",Leikkipaikka Rajatorpanpuisto,"Piikkirinne 1b, 01650 Vantaa","<a href=""https://www.vantaa.fi/fi/palveluhakemisto/palvelu/puistoleikkipaikat"" target=""_palvelu"">Leikkipaikka Rajatorpanpuisto</a>","<a href=""https://www.vantaa.fi/en/services/service/playgrounds"" target=""_palvelu"">Playground Rajatorpanpuisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25502199 6677645)",Leikkipaikka Herttoniemen aluepuisto,"Siilitie 11, 00800 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Herttoniemen aluepuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25500260 6680176)",Leikkipaikka Kiillepuisto,"Kiilletie 6, 00710 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kiillepuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25497332 6674457)",Leikkipaikka Porthaninpuistikko,"Porthaninkatu 8, 00530 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Porthaninpuistikko</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25502058 6676971)",Leikkipaikka Kettupuisto,"Karhutie 44, 00800 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Kettupuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25492360 6682261)",Leikkipaikka Rukkilan puisto,"Värttinäkuja 1, 00410 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Rukkilan puisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu"">Playground Rukkilan puisto</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25496626 6672585)",Leikkipaikka Vanha Kirkkopuisto,"Lönnrotinkatu 6, 00120 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Vanha Kirkkopuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25495647 6681962)",Leikkipaikka Repovuorenpuisto,"Repovuorentie 16, 00670 Helsinki","<a href=""https://www.hel.fi/fi/kasvatus-ja-koulutus/leikkipuistot/leikkipuistot-ja-perhetalot"" target=""_palvelu"">Leikkipaikka Repovuorenpuisto</a>","<a href=""https://www.hel.fi/en/childhood-and-education/playgrounds/find-playgrounds-and-family-houses"" target=""_palvelu""></a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25479096 6674728)",Vantinpuiston leikkipaikka,"Vantinpuisto 7, 02780 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/vantinpuiston-leikkipaikka"" target=""_palvelu"">Vantinpuiston leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/vantinpuisto-playground"" target=""_palvelu"">Vantinpuisto playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
"POINT (25479981 6670735)",Aallonharjan leikkipaikka,"Tyrskykuja 5, 02320 Espoo","<a href=""https://www.espoo.fi/fi/toimipisteet/aallonharjan-leikkipaikka"" target=""_palvelu"">Aallonharjan leikkipaikka</a>","<a href=""https://www.espoo.fi/en/units/aalloharja-playground"" target=""_palvelu"">Aalloharja playground</a>",Leikkipaikat (ei ohjattua toimintaa),Play areas (no supervised activities)
